id_typ,popis_stavu
0,START
1,1. čtení
2,2. čtení
3,2. čtení - obecná rozprava
4,2. čtení - podrobná rozprava
5,3. čtení
6,KONEC
7,Organizační výbor
8,Prezident
9, 
10,Předseda PS
11,Sbírka zákonů
12,Senát
13,Sněmovna (Prezident)
14,Sněmovna (Senát)
15,Vláda
16,Vyjádření vlády
17,"1. čtení (§ 90, odst. 2) - ob. rozprava"
18,"1. čtení (§ 90, odst. 2) - podr. rozprava"
19,Sbírka mezinárodních smluv
20,"PČR, PS"
21,Pozměňovací návrhy
22,Proceduralni projednavani
40,1. čtení - obecná rozprava
41,1. čtení - podrobná rozprava
42,Stary jednaci rad
43,zkrácené jednání
44,opakované prvé čtení
51,EU
52,VEZ
53,Projednávání
54,Garanční výbor
55,Neprojednáno garančním výborem
56,Sloučená rozprava
57,Zvláštní bod
58,Procedurální bod
59,Usnesení
60,Instituce
61,Dokument instituce
62,Výbor/komise PS
63,Sněmovna (Senát) - ČL
64,Odesíláno do Senátu
65,Věcně příslušný výbor
66,Zkracene jednani
